registered_name,category,gender,display_race_time,race_time,time_diff,zwid,zp_name,team,subteam
Dean Marriott,c,1,1:13:36.687000,4416.686999999999898136593401432037353515625,0:04:55.126000,410330,Dean Marriott [Team Vegan],Team Vegan Spinach,
John Bamford,c,1,1:13:39.444000,4419.4440000000004147295840084552764892578125,0:04:57.883000,456955,John  John Bamford (ART Neutrons),ART Neutrons,
Craig Christie ,c,1,1:13:55.879000,4435.8789999999999054125510156154632568359375,0:05:14.318000,130703,Craig  Christie \u26a1\ufe0fBRT  Badger,BRT,
Ruth Breeze,c,2,1:14:32.183000,4472.1829999999999927240423858165740966796875,0:05:50.622000,1406512,Ruth Breeze (TT1 Hypers),Team Type 1,
Jonathon Lees,c,1,1:14:33.300000,4473.3000000000001818989403545856475830078125,0:05:51.739000,3160142,Jonathon Lees (ART Fusion),ART Neutrons,
Mary Dootson,c,2,1:14:38.990000,4478.989999999999781721271574497222900390625,0:05:57.429000,2650031,Mary Dootson \U0001f427 (R3R A-HA) ,Race3R,
Morgan Bennett,c,2,1:15:12.503000,4512.5029999999997016857378184795379638671875,0:06:30.942000,1665071,Morgan Bennett [Vegan Coconuts],Team Vegan Coconuts,
Marko Niederheide,c,1,1:15:36.479000,4536.4790000000002692104317247867584228515625,0:06:54.918000,601425,M arko [Team Vegan],Team Vegan Spinach,
Jo Fleming,c,2,1:15:44.090000,4544.09000000000014551915228366851806640625,0:07:02.529000,490655,Jo Fleming (WLRCC) [Team Vegan],Team Vegan Spinach,
Bruno Riollet,c,1,1:16:36.481000,4596.48099999999976716935634613037109375,0:07:54.920000,1534082,B runo Riollet (F),Green Machine,
Jose Descoteaux,c,1,1:16:38.562000,4598.561999999999898136593401432037353515625,0:07:57.001000,664787,Jose Descoteaux,Green Machine,
DarrinG,c,1,1:16:44.533000,4604.5330000000003565219230949878692626953125,0:08:02.972000,68443,Darrin Grace,Green Machine,
Dario Finatti,c,1,1:16:59.187000,4619.186999999999898136593401432037353515625,0:08:17.626000,844179,Dario Finatti (ITA),Team ITALY,
Darrin Cook,c,1,1:17:05.682000,4625.6819999999997889972291886806488037109375,0:08:24.121000,2509064,Darrin Cook [Vegan Crocodiles],Team Vegan Crocodiles,
Val Cummings,c,2,1:17:18.854000,4638.8540000000002692104317247867584228515625,0:08:37.293000,2990367,Val Cummings \u24cb [Team Vegan / EFT],Team Vegan Crocodiles,
Georges Hernandez,c,1,1:18:19.017000,4699.0169999999998253770172595977783203125,0:09:37.456000,764173,H Georges[VEGAN Crocodiles],Team Vegan Crocodiles,
Mark Sanders,c,1,1:18:38.266000,4718.26599999999962165020406246185302734375,0:09:56.705000,2217260,Mark  Sanders (ART Neutrons),ART Neutrons,
David Swan,c,1,1:18:46.590000,4726.59000000000014551915228366851806640625,0:10:05.029000,246094,David  Swan \u26a1[BRT] C TC,BRT,
Stuart Cox,c,1,1:18:49.926000,4729.9260000000003856257535517215728759765625,0:10:08.365000,25377,Stuart Cox (v) [Team Vegan],Team Vegan Spinach,
Felicity Caddick,c,2,1:18:51.624000,4731.62399999999979627318680286407470703125,0:10:10.063000,1955420,Felicity C (Socks4Watts WattNots),Socks4Watts,
Ben Weeding,c,1,1:18:54.522000,4734.5219999999999345163814723491668701171875,0:10:12.961000,223663,Ben Weeding (ART Isotopes) ,ART Isotopes,
Lee Gale,c,1,1:19:09.698000,4749.69800000000032014213502407073974609375,0:10:28.137000,1830608,Lee  Gale (ART Isotopes),ART Isotopes,
Tim Mennell,c,1,1:20:37.854000,4837.8540000000002692104317247867584228515625,0:11:56.293000,2610238,Tim Mennell (TFC),TFC,
Derren Craddock,c,1,1:20:44.380000,4844.3800000000001091393642127513885498046875,0:12:02.819000,541028,Zed  Sprocket,Green Machine,
Michelle Gates,c,2,1:21:27.841000,4887.841000000000349245965480804443359375,0:12:46.280000,1375409,Michelle Gates \u24cb [TEAM VEGAN],Team Vegan Spinach,
John Bragg,c,1,1:21:33.906000,4893.9059999999999490682967007160186767578125,0:12:52.345000,2646918,John Bragg [Team Vegan],Team Vegan Spinach,
Niccolò Martinoli,c,1,1:22:09.263000,4929.2629999999999199644662439823150634765625,0:13:27.702000,1354660,Niccol\xf2 Martinoli (C) [ITA],Team ITALY,
Cheryl Muldoon,c,2,1:22:40.874000,4960.87399999999979627318680286407470703125,0:13:59.313000,113057,Cheryl Muldoon[Team Vegan],Team Vegan Spinach,
Chris Marshall,c,1,1:24:46.734000,5086.73400000000037834979593753814697265625,0:16:05.173000,78090,Chris  Marshall (ART Isotopes),ART Isotopes,
Steve Lytollis,c,1,1:24:59.528000,5099.528000000000247382558882236480712890625,0:16:17.967000,1358214,Steve Lytollis (ART Isotopes),ART Isotopes,
Joe Winning,c,1,1:25:11.222000,5111.221999999999752617441117763519287109375,0:16:29.661000,435308,Joe  Winning (ART Neutrons),ART Neutrons,
David Hivey,c,1,1:25:29.017000,5129.0169999999998253770172595977783203125,0:16:47.456000,3360700,David Hivey (ART),ART Isotopes,
Rudi peters,c,1,1:25:59.045000,5159.045000000000072759576141834259033203125,0:17:17.484000,2682294,Rudi Peters (OTR Force),On the Rivet,
Larrs Bennett,c,1,1:28:15.571000,5295.57099999999991268850862979888916015625,0:19:34.010000,38350,L ars B,Team Vegan Coconuts,
Kenneth Yau,c,1,1:28:55.823000,5335.82300000000032014213502407073974609375,0:20:14.262000,183298,Kenneth Yau [Team Vegan],Team Vegan Coconuts,
