registered_name,category,gender,race_time,time_diff,zid,zp_name,team,subteam
Terry Wright,d,1,0:33:19.295000,0:03:43.076000,3045683,terry  Wright ,None,
Ellen Van Eeckhout,d,2,0:33:30.329000,0:03:54.110000,2836546,Ellen Van Eeckhout [Team Vegan],Green Machine,
Amy Morris,d,2,0:33:34.224000,0:03:58.005000,2733583,Amy Morris23 [WTRL] (DD4),WTRL,Drafting Dinos
Pierre-Alexandre TARRIEU,d,1,0:33:38.876000,0:04:02.657000,3314041,Pierre-Alexandre Tarrieu,Green Machine,
Henry Bottoms,d,1,0:33:45.581000,0:04:09.362000,3199370,Henry Bottoms (SDW JASPERS),SDW Youth,
Leo Hughes,d,1,0:33:59.406000,0:04:23.187000,2403581,Leo Hughes [SDW] Youth,SDW Youth,
Sam Brooker,d,1,0:34:02.363000,0:04:26.144000,2470984,Sam Brooker TT1F (TT1 Hypers) ,Team Type 1,
Melissa Thorburn,d,2,0:35:00.351000,0:05:24.132000,722952,Melissa Thorburn (Team Vegan),Team Vegan Fireflies,
Jen Collins,d,2,0:35:00.388000,0:05:24.169000,2547684,Jen Collins[VEGAN Fireflies],Team Vegan Fireflies,
Ryan Biegen,d,1,0:35:06.643000,0:05:30.424000,2952708,Ryan Biegen TT1D (TT1 Gluconauts),Team Type 1,
Niene Niene ,d,2,0:35:45.805000,0:06:09.586000,1464527,Niene Niene (WP-KC),KIRCHMAIR e-Cycling,
Adrian Bach,d,1,0:37:08.845000,0:07:32.626000,2734726,Adrian Bach (ART FUSION),ART Fusion,
Mickey Murphy,d,1,0:38:36.413000,0:09:00.194000,2964116,Mickey Murphy,Green Machine,
Jimbo V,d,1,1:16:42.977000,0:47:06.758000,3297493,Jimbo imbo (TFC),TFC,
Cefn O'Ryan,d,1,1:17:37.527000,0:48:01.308000,740252,Cefn O\u2019Ryan (ART Neon,ART Fusion,
Nathan Tully,d,1,1:18:17.251000,0:48:41.032000,2757731,Nathan Tully (SDW Youth),SDW Youth,
Ladean Unser,d,2,1:18:22.843000,0:48:46.624000,86000,Ladean Unser(DD2),WTRL,Drafting Dinos
Andrew Hayton,d,1,1:20:32.881000,0:50:56.662000,509608,Andrew Hayton (ART Fusion),ART Fusion,
Jason Watts,d,1,1:20:53.498000,0:51:17.279000,983355,Jason Watts \u24cb [Team Vegan] CocoNuts,Team Vegan Dolphins,
Fiona Thomson,d,2,1:20:55.162000,0:51:18.943000,533788,Fiona Thomson (CMA),Green Machine,
Mark Kassels,d,1,1:22:38.591000,0:53:02.372000,1554576,Mark Kassels(TT1D) 9115,Green Machine,
Tim Coppens,d,1,1:23:09.022000,0:53:32.803000,2139446,Tim Coppens\ud83c\udf31 [Team Vegan],Green Machine,
Christopher Price,d,1,1:23:18.088000,0:53:41.869000,189331,Christopher Price (TT1 Hypers),Team Type 1,
Leo Hughes,d,1,1:23:18.306000,0:53:42.087000,2403581,Leo Hughes [SDW] Youth,SDW Youth,
Naomi Bright,d,2,1:23:19.153000,0:53:42.934000,2885796,Naomi Bright [Team Vegan] ,Team Vegan Fireflies,
Henry Bottoms,d,1,1:23:19.315000,0:53:43.096000,3199370,Henry Bottoms (SDW YOUTH),SDW Youth,
Amy Morris,d,2,1:23:19.320000,0:53:43.101000,2733583,Amy Morris23 [WTRL] (draftingdinos3),WTRL,Drafting Dinos
Mary Swindles,d,2,1:23:19.394000,0:53:43.175000,1140029,Mary     Swindles (ART Fusion),ART Fusion,
Dorothy Gibson,d,2,1:23:19.978000,0:53:43.759000,143477,dorothy ottie g [WTRL] (DDUK),WTRL,Drafting Dinos
Terry Wright,d,1,1:25:39.791000,0:56:03.572000,3045683,terry  Wright ,None,
Steffi Köhler ,d,2,1:27:01.228000,0:57:25.009000,3096003,mookla tm [team vegan],Team Vegan Fireflies,
Pierre-Alexandre TARRIEU,d,1,1:28:12.418000,0:58:36.199000,3314041,Pierre-Alexandre Tarrieu,Green Machine,
Ellen Van Eeckhout,d,2,1:28:45.900000,0:59:09.681000,2836546,Ellen Van Eeckhout [Team Vegan],Green Machine,
Jen Collins,d,2,1:29:16.107000,0:59:39.888000,2547684,Jen Collins[VeganFireflies],Team Vegan Fireflies,
Dominic Shotton,d,1,1:29:16.303000,0:59:40.084000,1586007,Dominic Shotton (ART Fusion),ART Fusion,
Carolina Beidler,d,1,1:29:16.475000,0:59:40.256000,2209505,Lina Beidler\ud83c\udde8\ud83c\uddf4[Team Vegan],Green Machine,
Hilda van der Veen,d,2,1:29:32.956000,0:59:56.737000,1058200,Dalih [Team Vegan],Team Vegan Fireflies,
Sam Brooker,d,1,1:31:07.606000,1:01:31.387000,2470984,Sam Brooker TT1F (TT1 Hypers) ,Team Type 1,
Gary Laverick,d,1,1:31:55.876000,1:02:19.657000,2566486,Gary Laverick [Team Vegan],Team Vegan Dolphins,
Niene Niene ,d,2,1:35:17.439000,1:05:41.220000,1464527,Niene Niene (KC-M1),KIRCHMAIR e-Cycling,
Ryan Biegen,d,1,1:37:40.750000,1:08:04.531000,2952708,Ryan Biegen TT1D (TT1 Gluconauts),Team Type 1,
Mickey Murphy,d,1,1:41:22.881000,1:11:46.662000,2964116,Mickey Murphy,Green Machine,
