registered_name,category,race_time,time_diff,zid,zp_name,team,subteam
Gerald Baister,b,0:26:46.925000,0:02:04.320000,593133,Gerald  Baister(Art Photons),"('ART Photons',)",
Darren Taylor,b,0:26:47.079000,0:02:04.474000,2308669,Darren Taylor (TFC),"('TFC',)",
Mike Potter,b,0:26:48.307000,0:02:05.702000,2561022,Mike Potter [Team Vegan],"('Team Vegan Badgers',)",
Lindon Clowes,b,0:27:22.019000,0:02:39.414000,38399,lindon clowes ,"('Race3R',)",
Chris Rose,b,0:27:22.569000,0:02:39.964000,3091575,Chris Rose  TT1D p/b Jacks Homegrown,"('Team Type 1',)",
Donna Watts,b,0:27:22.831000,0:02:40.226000,2470767,D Watts [S4W],"('Socks4Watts',)",
Ayaz Asif,b,0:27:22.993000,0:02:40.388000,7759,Ayaz Asif [TEAM VEGAN],"('Team Vegan Badgers',)",
Terry Skeet,b,0:27:23.133000,0:02:40.528000,1035411,Terry Skeet (Race3R),"('Race3R',)",
German Di Manzo,b,0:27:23.275000,0:02:40.670000,1234306,German Di Manzo [Vegan Badgers],"('Team Vegan Badgers',)",Arrows
Atilla Yılmaz,b,0:27:23.864000,0:02:41.259000,2288393,Atilla Yilmaz [Team Vegan],"('Team Vegan Barracudas',)",
Fatih Sever,b,0:27:24.490000,0:02:41.885000,2019596,Fatih Sever [Team Vegan],"('Team Vegan Badgers',)",
Emmanuel P,b,0:27:26.330000,0:02:43.725000,225251,E- mman//\ud83e\udeb6-[LVL]-\ud83d\udc0d,"('WKG',)",111
Debra Sluz Parker,b,0:27:26.860000,0:02:44.255000,260577,Debra Sluz Parker (S4W),"('Kiss Racing Team',)",
Mike Reardon,b,0:27:26.994000,0:02:44.389000,199245,Mike Reardon [Vegan Bobcats],"('Team Vegan Bobcats',)",
Lisa-jane Lait,b,0:27:27.525000,0:02:44.920000,384525,L.j F'OXY (Rave),"('Team RAVE',)",
Raymond Hallam,b,0:27:35.025000,0:02:52.420000,1187880,Raymond Hallam (Vegan Bobcats),"('Team Vegan Bobcats',)",
Anne-Marie Benoy,b,0:27:35.142000,0:02:52.537000,624035,Anne-Marie Benoy [AEO],"('Aeonian Race Team',)",
Annette Golawska,b,0:27:35.531000,0:02:52.926000,1175543,Annette Golawska (Socks4Watts),"('Socks4watts',)",
Matze,b,0:27:50.816000,0:03:08.211000,547475,  @vgn_cycl.matze [Team Vegan],"('Team Vegan Barracudas',)",
Jenni Kinnunen,b,0:28:08.969000,0:03:26.364000,897935,Jenni Kinnunen (RAVE),"('Team RAVE',)",
Richard Corbridge,b,0:28:13.201000,0:03:30.596000,240483,Richard Corbridge[V],"('Team Vegan Bobcats',)",
Mike Noad,b,0:28:48.960000,0:04:06.355000,24546,. Mike[Vegan Barracuda] \u24cb\ud83c\udf31,"('Team Vegan Barracudas',)",
Nolan Wages,b,0:29:30.451000,0:04:47.846000,2985886,Nolan Wages,"('Green Machine',)",
Fred Cerdeira,b,0:30:14.506000,0:05:31.901000,652575,Fred Cerdeira [ Team Vegan VZT] ,"('Team Vegan Barracudas',)",
Richard Vale,b,0:31:08.609000,0:06:26.004000,455292,Richard Vale (Race3R),"('Race3R',)",
Evan Flater,b,1:05:03.163000,0:40:20.558000,1063791,E Flater (OTR),"('On the Rivet',)",
Lukas Pedersen,b,1:05:03.558000,0:40:20.953000,1495980,Lukas Pedersen,"('None',)",
Martijn van der Vis,b,1:05:03.612000,0:40:21.007000,1452217,Martijn Van Der Vis [Team Vegan],"('Team Vegan Badgers',)",
Jeroen Speelmans,b,1:05:03.778000,0:40:21.173000,1401963,Jeroen Speelmans (LEQP),"('LEQP',)",
Darren Humphrey,b,1:05:03.829000,0:40:21.224000,2378415,Darren Humphrey [ECC] ,"('None',)",
Carl Krystek,b,1:05:03.906000,0:40:21.301000,609290,Carl [Team Vegan],"('Team Vegan Barracudas',)",
Simon Molyneux,b,1:05:04.062000,0:40:21.457000,216169,Simon Molyneux [TEAM VEGAN],"('Team Vegan Bobcats',)",
Alan Hugill,b,1:05:04.168000,0:40:21.563000,285500,Alan Hugill,"('Race3R',)",
Neil Hodgson,b,1:05:04.480000,0:40:21.875000,7520,Neil Hodgson (OTR),"('On the Rivet',)",
Daniel unt,b,1:05:04.489000,0:40:21.884000,182368,Daniel Hunt | LEQP,"('LEQP',)",
john hughes,b,1:05:04.674000,0:40:22.069000,1354923,John Hughes [Electricspirit.co]\xa0,"('Team Electricspirit.co',)",
James Eastwood,b,1:05:04.786000,0:40:22.181000,353326,James Eastwood [Socks4Watts] ,"('Socks4Watts',)",
Derek Mcintire,b,1:05:04.807000,0:40:22.202000,955953,Derek McIntire[Team Vegan] \u24cb,"('Team Vegan Barracudas',)",
Josh Nordell,b,1:05:04.945000,0:40:22.340000,1381321,Josh Nordell N\u2019Oregon (TFC),"('TFC',)",
Ross Hetherington,b,1:05:05.009000,0:40:22.404000,129517,Ross Hetherington Race3R \ud83d\udc0c,"('Race3R',)",
Ryan Ness,b,1:05:05.080000,0:40:22.475000,2858658,ryan NESS   (TFC),"('TFC',)",
Tobias Schmitt,b,1:05:05.282000,0:40:22.677000,1424719,Tobias Schmitt (COALITION),"('Canyon Coalition',)",
Karel Smeets,b,1:05:05.531000,0:40:22.926000,1402075,Karel Smeets [Team Vegan],"('Team Vegan Badgers',)",
Paul Tippins,b,1:05:05.656000,0:40:23.051000,121731,Paul Tippins  (ART Photons),"('ART Photons',)",
Daniel Rockliff,b,1:05:05.700000,0:40:23.095000,23601,Daniel Rockliff (TFC),"('TFC',)",
Patrick Söller,b,1:05:05.715000,0:40:23.110000,1462344,Patrick S [Vegan Bobcats],"('Team Vegan Bobcats',)",
Jeremy Leal,b,1:05:05.833000,0:40:23.228000,2893659,Jeremy Leal (OTR),"('On The Rivet',)",
Jane Geddes,b,1:05:06.023000,0:40:23.418000,1150516,Jane Geddes (Vegan Badgers),"('Team Vegan Badgers',)",
albert chan,b,1:05:06.060000,0:40:23.455000,492994,Albert Chan ( OTR ),"('On The Rivet',)",
Oliver Paul,b,1:06:54.442000,0:42:11.837000,472728,Oliver Paul (CRYO-GEN),"('CRYO-GEN',)",
Tim Burdon,b,1:06:54.715000,0:42:12.110000,114936,Tim Burdon (Race3R),"('Race3R',)",
Will Hayes,b,1:06:54.918000,0:42:12.313000,632385,Will Hayes (ART Photons),"('ART Photons',)",
Dean dingle,b,1:06:54.985000,0:42:12.380000,1373912,  Dean  (Race3R) ,"('Race3R',)",
David Akrigg,b,1:06:55.258000,0:42:12.653000,561201,Davy Ackers (Race3R),"('Race3r',)",
Jonathan Jones,b,1:06:56.044000,0:42:13.439000,972568,Jonathan Jones [VEGAN BOBCATS],"('Team Vegan Bobcats',)",
Chris Stewart,b,1:06:56.529000,0:42:13.924000,557350,Chris Stewart (OTR),"('On the Rivet',)",
Dave Brodmann,b,1:06:56.662000,0:42:14.057000,15543,Dave Brodmann(TFC),"('TFC',)",
James Cooper,b,1:06:56.762000,0:42:14.157000,1299986,James Cooper \ud83c\udf31\u24cb [Team Vegan],"('Team Vegan Badgers',)",
Phil Daws,b,1:06:56.923000,0:42:14.318000,480820,P Daws \u24cb [Team Vegan],"('Team Vegan Bobcats',)",
Nikolaj Therkelsen,b,1:07:35.940000,0:42:53.335000,150173,Nikolaj Therkelsen [Team Vegan],"('Team Vegan Bobcats',)",
Carlos Marin,b,1:08:11.633000,0:43:29.028000,2533741,Carlos Marin [Team Vegan],"('Team Vegan Barracudas',)",
Chris Tye,b,1:08:12.415000,0:43:29.810000,126339,Chris Tye (Tritalk),"('Herd',)",
Daniel Bolton,b,1:08:12.569000,0:43:29.964000,558697,Daniel Bolton (LEQP Mistral),"('LEQP',)",
Joel Howard,b,1:08:12.693000,0:43:30.088000,1357971,Joel Howard STC [Team Vegan] ,"('Team Vegan Badgers',)",
Ron Gallo,b,1:08:58.800000,0:44:16.195000,724812,Ron Gallo (OTR),"('On the Rivet',)",
Tilen Vrhunc,b,1:09:08.299000,0:44:25.694000,1357039,Tilen Vrhunc [Team Vegan Bobcats] \ud83c\udf31 ,"('Team Vegan Bobcats',)",
Daniel Dugal,b,1:09:08.679000,0:44:26.074000,460142,Daniel Dugal V (Vegan Barracudas),"('Team Vegan Barracudas',)",
Rob Lines,b,1:09:09.615000,0:44:27.010000,98667,R ob L (Tri-Anglia),"('Tri-Anglia',)",
Kevin Linsiamud,b,1:09:10.384000,0:44:27.779000,858499,Kevin L (OTR),"('On the Rivet',)",
Kev Taylor,b,1:09:29.661000,0:44:47.056000,1441922,Kev Taylor (ART Photons),"('ART Photons',)",
Darren Taylor,b,1:09:29.889000,0:44:47.284000,2308669,Darren Taylor (TFC),"('TFC',)",
Jason Byles,b,1:09:30.650000,0:44:48.045000,1209191,Jason Byles (ART Photons),"('ART Photons',)",
Richard Vale,b,1:09:30.877000,0:44:48.272000,455292,Richard Vale (Race3R),"('Race3R',)",
Mike Cannon,b,1:09:31.561000,0:44:48.956000,1531176,Michael Cannon (TEAM VEGAN),"('Team Vegan Barracudas',)",
Marc Pierschel,b,1:09:31.587000,0:44:48.982000,918949,Marc Pierschel [Team Vegan]\ud83c\udf31 ,"('Team Vegan Barracudas',)",
Pauli Markkanen,b,1:09:31.857000,0:44:49.252000,992434,C lem Fandango (ART),"('ART Photons',)",
Steve Luke,b,1:09:32.023000,0:44:49.418000,524430,Steve Luke (ART Photons),"('ART Photons',)",
Ayaz Asif,b,1:09:32.261000,0:44:49.656000,7759,Ayaz Asif [TEAM VEGAN],"('Team Vegan Badgers',)",
Debra Sluz Parker,b,1:09:32.452000,0:44:49.847000,260577,Debra Sluz Parker (S4W),"('Kiss Racing Team',)",
Matze,b,1:09:33.036000,0:44:50.431000,547475,  @vgn_cycl.matze [Team Vegan],"('Team Vegan Barracudas',)",
Terry Skeet,b,1:09:33.860000,0:44:51.255000,1035411,Terry Skeet (Race3R),"('Race3R',)",
Gary Cowlam,b,1:09:35.777000,0:44:53.172000,169550,Gary Cowlam,"('WKG',)",
Duncan Samwell,b,1:09:36.375000,0:44:53.770000,64108,Duncan Samwell (Tri-Anglia),"('Tri-Anglia',)",
David Nickolls ,b,1:11:32.747000,0:46:50.142000,151724,David  Nickolls {TFC),"('TFC',)",
Gerald Baister,b,1:11:33.318000,0:46:50.713000,593133,Gerald  Baister(Art Photons),"('ART Photons',)",
Matthew Rockliff,b,1:12:11.829000,0:47:29.224000,50565,Matthew Rockliff (TFC),"('TFC',)",
Fran Bambust,b,1:12:15.562000,0:47:32.957000,427114,Fran Bambust,"('Team RAVE',)",
Scott McGowan,b,1:12:36.039000,0:47:53.434000,185873,Scott McGowan \u24cb [Team Vegan],"('Green Machine',)",
Atilla Yılmaz,b,1:12:49.829000,0:48:07.224000,2288393,Atilla Yilmaz [Team Vegan],"('Team Vegan Barracudas',)",
German Di Manzo,b,1:12:50.151000,0:48:07.546000,1234306,German Di Manzo (Vegan Badgers),"('Team Vegan Badgers',)",Arrows
James Black,b,1:12:50.876000,0:48:08.271000,888536,James Black (Vegan Bobcats),"('Team Vegan Bobcats',)",
Mike Reardon,b,1:15:15.968000,0:50:33.363000,199245,Mike Reardon [Vegan Bobcats],"('Team Vegan Bobcats',)",
Andrew Connor,b,1:15:51.773000,0:51:09.168000,2362215,Andrew Connor (TBR Z4L1),"('TBR Racing',)",
Nolan Wages,b,1:15:55.029000,0:51:12.424000,2985886,Nolan Wages,"('Green Machine',)",
Fabian du Bernard,b,1:15:55.321000,0:51:12.716000,842922,Fabian Benjamin du Bernard [EVO],"('Socks4Watts',)",
Fred Cerdeira,b,1:17:02.155000,0:52:19.550000,652575,Fred Cerdeira [ Team Vegan VZT] ,"('Team Vegan Barracudas',)",
Fatih Sever,b,1:22:25.750000,0:57:43.145000,2019596,Fatih Sever [Team Vegan],"('Team Vegan Badgers',)",
IvanGG,b,1:25:49.858000,1:01:07.253000,2217046,IVAN G.G.,"('Green Machine',)",
