registered_name,category,gender,race_time,time_diff,zid,zp_name,team,subteam
Hywel Davies,a,1,1:01:17.752000,0:38:06.472000,1119043,Hywel  Davies [BRT],BRT,
Olivier Symoens,a,1,1:01:17.778000,0:38:06.498000,1515010,Olivier Symoens [SPSD],Sportsolid,
Robert McEwan,a,1,1:01:17.875000,0:38:06.595000,619770,Robert McEwan (TFC Typhoon),TFC,
Joseph Chudyk,a,1,1:01:18.104000,0:38:06.824000,2568352,Joseph Chudyk [Finesse],Finesse Rockets,
Adam C.,a,1,1:01:18.120000,0:38:06.840000,70177,. ~ Cycopath ~ (Team Vegan),Team Vegan Antelopes,
Zach Harner,a,1,1:01:18.155000,0:38:06.875000,800272,Zach Harner [nopinzR3R],NOPINZ R3R,
Nick Hird,a,1,1:01:18.307000,0:38:07.027000,54593,Nick Hird [CRYO RDT],CRYO-GEN,
Scott Gleason,a,1,1:01:18.314000,0:38:07.034000,429529,Scott Gleason [nopinzR3R],NOPINZ R3R,
Alex TenElshof,a,1,1:01:18.433000,0:38:07.153000,485822,Alex TenElshof [Finesse],Finesse Rockets,
Joel Chidley,a,1,1:01:18.997000,0:38:07.717000,2366199,Joel Chidley (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Matt Looker,a,1,1:01:19.100000,0:38:07.820000,260941,Matt Looker [nopinzR3R],NOPINZ R3R,
Alex rockwell,a,1,1:01:19.573000,0:38:08.293000,960543,Alex  Rockwell,LEQP,
Sergio Martin Amat,a,1,1:01:19.925000,0:38:08.645000,600734,  Sergio A. (Purple Train),Purple Train,
Steven Brierley,a,1,1:01:20.045000,0:38:08.765000,43160,Steven Brierley [nopinzR3R],NOPINZ R3R,
Noah Balch,a,1,1:01:20.287000,0:38:09.007000,1270113,Noah Balch [OTR Blur],On the Rivet,
Jono Martin,a,1,1:01:20.306000,0:38:09.026000,593346,Jono Martin (R3R Dev),R3R Dev Black Eyed Peas,
Leon O'Regan,a,1,1:01:20.322000,0:38:09.042000,397219,Leon O'Regan (TFC),TFC,
Tim Elskens,a,1,1:01:20.591000,0:38:09.311000,861277,Tim Elskens [SPSD],Sportsolid,
Antti Vale,a,1,1:01:20.661000,0:38:09.381000,195687,Antti Valve (FZR),FZR,
Adam Schwengler,a,1,1:01:21.176000,0:38:09.896000,177457,Adam Schwengler (Vegan),Team Vegan Antelopes,
Goran Salavec,a,1,1:01:21.318000,0:38:10.038000,92474,Goran Salavec [R3R],Race3R,
Bart Nowaczek,a,1,1:01:21.623000,0:38:10.343000,358286,Bartosz Nowaczek,Team Vegan Alpacas,Alpacas/Vipers
Antonio Gatto,a,1,1:01:22.378000,0:38:11.098000,1107220,A. Gatto \u24cb  [Team Vegan],Team Vegan Alpacas,
