registered_name,category,race_time,time_diff,zid,zp_name,team,subteam
Darrin Cook,c,0:29:03.453000,0:02:28.752000,2509064,Darrin Cook [Vegan Crocodiles],"('Team Vegan Crocodiles',)",
Rudi peters,c,0:29:30.551000,0:02:55.850000,2682294,Rudi Peters (OTR),"('On the Rivet',)",
Paula Zamora,c,0:29:32.776000,0:02:58.075000,1497837,Paula Zamora (DD1),"('WTRL',)",Drafting Dinos
Sarah Nicotero Axness,c,0:29:36.239000,0:03:01.538000,730172,Sarah Nico [WTRL] (DD1),"('WTRL',)",Drafting Dinos
Julie Clark (Francesca Julie),c,0:29:36.335000,0:03:01.634000,2025471,Julie Clark (ART Isotopes),"('ART Isotopes',)",
Ruth Breeze,c,0:29:40.234000,0:03:05.533000,1406512,Ruth Breeze (TT1) ,"('Team Type 1',)",
Lee Gale,c,0:29:43.637000,0:03:08.936000,1830608,Lee  Gale (ART Isotopes),"('ART Isotopes',)",
Felicity Caddick,c,0:29:43.774000,0:03:09.073000,1955420,Felicity C (Zoot / S4W),"('Socks4Watts',)",
Jo Fleming,c,0:29:43.936000,0:03:09.235000,490655,Jo Fleming [WLRCC] [Team Vegan],"('Team Vegan Spinach',)",
Steve Lytollis,c,0:29:48.618000,0:03:13.917000,1358214,Steve Lytollis (ART Isotopes),"('ART Isotopes',)",
Ben Weeding,c,0:29:51.041000,0:03:16.340000,223663,Ben Weeding (ART Isotopes) ,"('ART Isotopes',)",
Connie Tang,c,0:29:51.969000,0:03:17.268000,1992872,Connie Tang (RAVE),"('Team RAVE',)",
Stuart Cox,c,0:30:03.092000,0:03:28.391000,25377,Stuart Cox (v) [Team Vegan],"('Team Vegan Spinach',)",
David Lago,c,0:30:05.280000,0:03:30.579000,1713687,David Lago [Team Vegan],"('Team Vegan Coconuts',)",
Kenneth Yau,c,0:30:09.662000,0:03:34.961000,183298,Kenneth Yau (Vegan Coconuts),"('Team Vegan Coconuts',)",
Cara McNamee,c,0:30:10.243000,0:03:35.542000,1023194,Cara McNamee (RAVE),"('Team RAVE',)",
James Wyatt,c,0:30:10.554000,0:03:35.853000,3244114,James Wyatt \u24cb [Team Vegan],"('Team Vegan Coconuts',)",
Derren Craddock,c,0:30:12.379000,0:03:37.678000,541028,Zed  Sprocket,"('Green Machine',)",
Georges Hernandez,c,0:30:14.194000,0:03:39.493000,764173,H Georges[VEGAN Crocodiles],"('Team Vegan Crocodiles',)",
Faye Armstrong ,c,0:30:56.595000,0:04:21.894000,187279,Faye Armstrong,"('Team RAVE',)",
Ted Holland,c,0:31:07.508000,0:04:32.807000,677508,Ted Holland,"('Green Machine',)",
Colin Gill,c,0:32:01.203000,0:05:26.502000,1072923,Colin Gill (ART Neutrons),"('ART Neutrons',)",
Maria Hurter,c,0:32:30.728000,0:05:56.027000,777169,Maria  Hurter [TV] (Skofnung),"('Valhalla',)",
Joe Winning,c,0:33:34.098000,0:06:59.397000,435308,Joe  Winning (ART Neutrons),"('ART Neutrons',)",
Patrick Harvey,c,1:08:24.488000,0:41:49.787000,88086,Patch  Harvey [ BRT ],"('BRT',)",
Jamie Watson,c,1:08:25.451000,0:41:50.750000,448811,Jamie Watson (BRT Visma)   ,"('BRT',)",
Warren Honey,c,1:08:25.616000,0:41:50.915000,1059788,Warren Honey \u26a1\ufe0f\ud83e\udda1 \ud83e\uddf9(BRT Badgers),"('BRT',)",
David hill,c,1:08:25.969000,0:41:51.268000,964610,david  hill TFC ,"('TFC',)",
Philip Sudworth,c,1:08:26.668000,0:41:51.967000,314508,Philip Sudworth (TFC),"('TFC',)",
Jason Feltus,c,1:08:28.836000,0:41:54.135000,91269,Jason Feltus Race 3R ,"('Race3R',)",
Craig Christie ,c,1:10:45.835000,0:44:11.134000,130703,Craig  Christie \u26a1\ufe0fBRT ,"('BRT',)",
Cheryl Muldoon,c,1:10:45.944000,0:44:11.243000,113057,Cheryl Muldoon[Team Vegan],"('Team Vegan Spinach',)",
Craig Gritzen,c,1:11:13.597000,0:44:38.896000,527678,C raig [Vegan Crocodiles]\u270a\ud83c\udffc,"('Team Vegan Crocodiles',)",
Liam Chell,c,1:11:14.216000,0:44:39.515000,2677607,Liam Chell (TFC),"('TFC',)",
Alex Semple,c,1:11:14.723000,0:44:40.022000,2507868,Alex Semple (ART Neutrons),"('ART Neutrons',)",
Arni Sumarlidason,c,1:11:16.500000,0:44:41.799000,1897973,Sumarlidason Arni [Team Vegan],"('Team Vegan Coconuts',)",
Evelien Bunnik,c,1:11:18.049000,0:44:43.348000,1421324,Evelien Bunnik [Vegan Crocodiles],"('Team Vegan Crocodiles',)",
Dean Marriott,c,1:11:52.290000,0:45:17.589000,410330,Dean Marriott [Team Vegan],"('Team Vegan Spinach',)",
Daniel Ongley,c,1:11:52.913000,0:45:18.212000,2791237,Dan Ongley (ART Neutrons),"('ART Neutrons',)",
Ines Pfeilmeier,c,1:11:53.075000,0:45:18.374000,1604473,I KP [Team Vegan],"('Team Vegan Coconuts',)",
David Swan,c,1:11:53.318000,0:45:18.617000,246094,David  Swan \u26a1[BRT] C TC,"('BRT',)",
Stuart Cox,c,1:11:53.571000,0:45:18.870000,25377,Stuart Cox (v) [Team Vegan],"('Team Vegan Spinach',)",
Chantale Bouchard,c,1:11:53.782000,0:45:19.081000,224992,  Chalou[Team Vegan] ,"('Team Vegan Crocodiles',)",
Robert Moseley,c,1:11:53.872000,0:45:19.171000,2863452,Rob Moseley (ART Isotopes),"('ART Isotopes',)",
Guy Vandersmissen,c,1:11:54.250000,0:45:19.549000,980133,Guy Vdsmis (TFC),"('TFC',)",
Niccolò Martinoli,c,1:11:55.298000,0:45:20.597000,1354660,Niccol\xf2 Martinoli (C) [ITA],"('Team ITALY',)",
James Wyatt,c,1:12:08.544000,0:45:33.843000,3244114,James Wyatt \u24cb [Team Vegan],"('Team Vegan Coconuts',)",
Mark Sanders,c,1:12:09.292000,0:45:34.591000,2217260,Mark Sanders (ART Neutrons),"('ART Neutrons',)",
Morgan Bennett,c,1:12:10.203000,0:45:35.502000,1665071,Morgan Bennett [Vegan Coconuts],"('Team Vegan Coconuts',)",
Marco Xibilia,c,1:12:28.488000,0:45:53.787000,3102685,Marco Xibilia [ITA],"('Team ITALY',)",
Ruth Breeze,c,1:12:28.613000,0:45:53.912000,1406512,Ruth Breeze (TT1 Hypers) ,"('Team Type 1',)",
